,rent,location,bedroom,bathroom,toilet,parking
10282,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
10283,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
10284,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
10285,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
10286,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
10287,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
10288,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
10289,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
10290,900000, Bakare Estate Agungi Lekki Lagos,1.0,1.0,1.0,0.0
10291,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
10292,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
10293,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10294,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10297,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
10298,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
10299,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
10300,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
10301,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
10302,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
10303,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
10304,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
10305,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
10306,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
10307,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
10308,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
10309,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
10310,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
10311,16100000, Victoria Island (VI) Lagos,3.0,3.0,4.0,2.0
10312,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
10313,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
10314,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10315,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10318,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
10319,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
10320,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
10321,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
10322,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
10323,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
